|id|name|address_name|address_comment|lat|lon|rubrics|review_point|review_count
6204|5348552838724186|Участковый пункт полиции №9, Участковый пункт полиции|проспект Стачек, 67 к3|1 этаж|59.870527|30.258894|['Участковые пункты полиции']|0.0|0
6205|5348552841013976|Участковый пункт №7, Участковый пункт полиции|улица Двинская, 10|1 этаж|59.908852|30.250183|['Участковые пункты полиции']|0.0|0
6206|5348552840066620|Главное Управление МВД РФ по г. Санкт-Петербургу и Ленинградской Области, экспертно-криминалистический отдел|Московский проспект, 95|1 этаж|59.894465|30.318029|['ОМВД / УМВД / ГУМВД / МВД']|0.0|0
6207|70000001025277361|Участковый пункт полиции №41, управление МВД России по Невскому району г. Санкт-Петербурга|Искровский проспект, 3 к2|1 этаж|59.911965|30.458724|['Участковые пункты полиции']|0.0|1
6208|5348553838576922|Управление на транспорте МВД РФ по Северо-Западному федеральному округу, следственное управление|Лиговский проспект, 226/7|2 этаж|59.907177|30.345991|['ОМВД / УМВД / ГУМВД / МВД']|0.0|0
6209|70000001036060577|Управление МВД России по Красногвардейскому району, Отдел дознания|Среднеохтинский проспект, 2в|1 этаж|59.946284|30.41306|['ОМВД / УМВД / ГУМВД / МВД']|0.0|0
6210|70000001021484497|Межмуниципальный отдел МВД РФ на особо важных и режимных объектах|проспект Добролюбова, 15|1-4 этаж|59.949728|30.300321|['ОМВД / УМВД / ГУМВД / МВД']|0.0|7
6211|70000001022069960|Специальный полк полиции, Главное управление МВД России по г. Санкт-Петербургу и Ленинградской области|19-я линия В.О., 10|Нет|59.933465|30.26905|['ОМВД / УМВД / ГУМВД / МВД']|0.0|0
6212|70000001048257279|Управление организации дознания, Главное управление МВД России по г. Санкт-Петербургу и Ленинградской области|Очаковская, 8|Нет|59.946181|30.385608|['ОМВД / УМВД / ГУМВД / МВД']|0.0|1
6213|70000001048062374|Линейный отдел МВД России в аэропорту Пулково|Штурманская, 16 к1|Нет|59.812429|30.30404|['Отделения полиции']|0.0|12
6214|70000001047573254|Участковый пункт полиции №16|проспект Ударников, 32 к3|Нет|59.953202|30.473799|['Участковые пункты полиции']|0.0|1
6215|70000001047293632|Участковый пункт полиции №14|Автовская, 4|1 этаж|59.866196|30.264352|['Участковые пункты полиции']|0.0|0
6216|70000001047034320|Главное Управление Министерства Внутренних Дел Российской Федерации по городу Санкт-Петербургу и Ленинградской области, Автотранспортный отдел|проспект Маршала Блюхера, 60|1 этаж|59.976493|30.443052|['ОМВД / УМВД / ГУМВД / МВД']|0.0|751
6217|70000001046734468|Участковый пункт полиции №7, Участковый пункт полиции|Московский проспект, 130а|1 этаж|59.888639|30.320825|['Участковые пункты полиции']|0.0|7
6218|70000001045234066|Главное Управление МВД РФ по г. Санкт-Петербургу и Ленинградской Области|Грота, 1-3|2 этаж|59.972458|30.292654|['ОМВД / УМВД / ГУМВД / МВД']|0.0|5
6219|70000001044968326|Участок №18, Участковый пункт полиции|набережная Обводного канала, 205|1 этаж|59.909851|30.281769|['Отделения полиции']|0.0|39
6220|70000001041164826|Инспектор по делам несовершеннолетних ОУУП и ПДН 37 отдела полиции, УМВД России по Василеостровскому району г. Санкт-Петербург|Малый проспект В.О., 82|1 этаж|59.937541|30.237313|['Участковые пункты полиции']|0.0|0
6221|70000001039865255|Участковый пункт полиции, 25 отдел полиции, управление МВД России по Приморскому району|Лыжный переулок, 6|1 этаж|59.999526|30.199112|['Участковые пункты полиции']|0.0|59
6222|70000001039274593|Участковый пункт полиции №9, 34 отдел полиции, Управление МВД России по Приморскому району|Матроса Железняка, 25|1 этаж|59.994816|30.309183|['Участковые пункты полиции']|0.0|0
6223|70000001035418373|Управление МВД России по Василеостровскому району г. Санкт-Петербурга|Железноводская улица, 3а ст2|1-5 этаж|59.954501|30.255791|['ОМВД / УМВД / ГУМВД / МВД']|0.0|0
6224|70000001035130423|Участковый пункт полиции №13, Участковый пункт полиции|Большая Монетная, 11|1 этаж|59.960824|30.315489|['Участковые пункты полиции']|0.0|0
6225|70000001034560233|57 отдел полиции Управления МВД Выборгского района|Есенина, 10 к1 ст1|1 этаж|60.03864|30.330861|['Отделения полиции']|0.0|17
6226|5348552840069336|10 отдел полиции, Управления МВД Невского района|Крупской, 30|1-3 этаж|59.88757|30.419891|['Отделения полиции']|0.0|30
6227|5348552840065485|Главное управление МВД России по г. Санкт-Петербургу, управление полиции на метрополитене|площадь Балтийского вокзала, 1|1 этаж|59.907105|30.299969|['ОМВД / УМВД / ГУМВД / МВД']|0.0|1
6228|5348552840098527|Главное Управление МВД РФ по г. Санкт-Петербургу и Ленинградской Области, Отдел организации охраны, конвоирования, содержания подозреваемых, обвиняемых и лиц подвергнутых административному аресту|Очаковская, 8|5 этаж|59.946181|30.385608|['ОМВД / УМВД / ГУМВД / МВД']|0.0|101
6229|70000001020971558|Главное Управление Росгвардии по г. Санкт-Петербургу и Ленинградской области, Калининский район|Кондратьевский проспект, 16|2 этаж|59.962999|30.379143|['ОМВД / УМВД / ГУМВД / МВД']|0.0|12
6230|5348552838768702|Главное Управление Росгвардии по г. Санкт-Петербургу и Ленинградской области, отделение Адмиралтейского района|Витебская, 11|1 этаж|59.92102|30.2802|['ОМВД / УМВД / ГУМВД / МВД']|0.0|81
6231|5348552839950480|Главное Управление Росгвардии по г. Санкт-Петербургу и Ленинградской области, отделение Кировского района|Зои Космодемьянской, 9|2, 5, 7 кабинет; 2 этаж|59.893276|30.268148|['ОМВД / УМВД / ГУМВД / МВД']|0.0|99
6232|5348552839950481|Главное Управление Росгвардии по г. Санкт-Петербургу и Ленинградской области, отделение Красногвардейского района|Передовиков, 3|2 этаж|59.93765|30.472179|['ОМВД / УМВД / ГУМВД / МВД']|0.0|5
6233|5348552839950484|Главное Управление Росгвардии по г. Санкт-Петербургу и Ленинградской области, отделение Московского района|Рыбинская улица, 7Б|3 этаж|59.910004|30.333926|['ОМВД / УМВД / ГУМВД / МВД']|0.0|0
6234|5348552839950485|Главное Управление Росгвардии по г. Санкт-Петербургу и Ленинградской области, отделение Невского района|Крупской, 30|1 этаж|59.88763|30.420171|['ОМВД / УМВД / ГУМВД / МВД']|0.0|7
6235|5348660212765630|Большой каскад|Нижний парк, лит БК|Нет|59.884868|29.90866|['Фонтаны']|4.8|17
6236|70000001062275722|Фонтан творчества, магазин товаров для создания свечей|Бестужевская улица, 10|247а секция; 2 этаж|59.98721|30.393498|['Курсы творчества и рукоделия для взрослых', 'Товары для творчества и рукоделия', 'Ароматовары']|4.3|8
6237|5348552838624065|Фонтан, торговая компания|Торжковская улица, 5|20 офис; 2 этаж|59.988059|30.309189|['Системы отопления / водоснабжения / канализации', 'Насосное оборудование']|0.0|0
6238|5348552839510748|Три моста, отель|набережная реки Мойки, 3|1 этаж|59.942753|30.326976|['Гостиницы']|5.0|492
6239|70000001043000523|Мосты Питера, мини-отель|Вознесенский проспект, 3-5|1 этаж; в арку, налево|59.930709|30.307979|['Гостиницы']|5.0|96
6240|70000001044471314|Крымский мост, пивная|Большой Казачий переулок, 11|1 этаж|59.922347|30.328265|['Бары']|4.4|17
6241|70000001045949022|The most fit, кроссфит-клуб|Лиговский проспект, 56г|1 этаж; вход в арке|59.923719|30.360172|['Фитнес-клубы', 'Спортивные секции', 'Тренажёрные залы']|5.0|199
6242|70000001035268871|Тучков мост, отель|4-я линия В.О., 53|1 этаж|59.947292|30.277407|['Гостиницы']|4.4|190
6243|70000001021791462|Троицкий мост, вегетарианское кафе|улица Куйбышева, 33|1 этаж|59.957701|30.334249|['Кондитерские изделия', 'Кафе', 'Доставка готовых блюд']|4.4|308
